source_file,source_sheet,supplier_name,phone,mobile,contact_person
/mnt/user-data/uploads/1783406084431_מחירים_כלים_חד_פעמי_וחומרי_ניקיון.xls,מחירים שילת,שילת פלסט,052-7677217,,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,א.מ פנקודים לשערים,03-5660835,050-5547057,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,אוויס,*2722,39-543-39,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,אילן גופי תאורה,052-2502761,,אילן
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,אלפאגרף,050-5207529,02-9915765,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,אמריקן קנון טקסטיל,03-9233445,,פבאלו
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,דלאס,050-9019102,,אושי
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,הודיה פלסט,052-7677217,,שלומי
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,טיירו פינוי מכולה,02-9996132,,מאיר
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,טכנאי גז גזגל,,053-2551717,צי'קו
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,מכבסה צורעה,02-9908679,050-7759189,גלדיס
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,נ.י.טנק(שירות למיכלי השריה),03-9071745,,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,סופר גז,*3114,מ.צ360966448,מיכל
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,סופר לנג (גינון),02-5340228,,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,סחר ושיווק(מכונת אייס תיי),050-7501177,,נימרוד
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,סנו,050-2119314,,עזרא
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,פעמית,054-2636759,,יניב
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,שאיבות שימשון,050-5276513,,שלמה
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,תומר ספורט טכנאי לחדר כושר,052-6471190,,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,אדי מערכות אינטרנט לרכב,1700-704100,03-9431648,
